Date,Open,High,Low,Close,Volume,Market Cap
05-02-2023,23332.247600951167,23423.435611538534,22841.760312501065,22955.666016297437,19564262605.21,442642331535.6
04-02-2023,23446.320726972564,23556.94880508433,23291.795658887062,23331.84713709607,15639298538.02,449874457148.45
03-02-2023,23469.412507140038,23678.10257647552,23279.9557414819,23449.32162150656,27083066007.24,452119476083.72
02-02-2023,23720.82351727543,24167.210232201985,23468.595282557166,23471.870441279425,32066936882,452534728124.07
01-02-2023,23137.835136150523,23764.53929417068,22877.75065255435,23723.769653484665,26683255504.12,457370104397.91
31-01-2023,22840.796090600143,23225.02140388607,22765.56849944083,23139.283909912327,22837828665.18,446082285297.19
30-01-2023,23774.64896664247,23789.347177699183,22657.582167625576,22840.13890737995,27205595568.34,440298767854.8
29-01-2023,23031.4492355484,23919.889761409202,22985.0701306067,23774.56592331162,27423687259.16,458291157032.27
28-01-2023,23079.96433256669,23165.895884287078,22908.846464031027,23031.08977562008,14712928379.05,443936922524.46
27-01-2023,23030.717285647723,23417.72097245481,22654.59340843538,23078.727879912283,25383335641.41,444830940521.37
26-01-2023,23108.954486797436,23237.07716893849,22911.373351233604,23032.777598708428,26357839322.09,443923229458.15
25-01-2023,22639.26716752375,23722.09880874052,22406.075502425076,23117.85968190475,30685366708.98,445539806080.32
24-01-2023,22929.627735671096,23134.012046600146,22549.74451310499,22636.469311191635,26405069714.63,436237993963.62
23-01-2023,22721.088671950587,23126.486345437213,22654.304469693496,22934.431464358633,26518700511.88,441960667796.84
22-01-2023,22777.986661421615,23056.72965007116,22387.900462859576,22720.41562863912,24746386230.08,437814457018.41
21-01-2023,22677.42738242082,23282.347721556718,22511.833134019824,22777.625809132605,32442278429.47,438896650641.24
20-01-2023,21085.37233777419,22692.35783082474,20919.125983682126,22676.55175888814,28799154319,436928964721.29
19-01-2023,20686.74590606124,21163.012288227077,20685.38118086059,21086.793304844312,21152848260.91,406279900295.03
18-01-2023,21161.050899700425,21564.502212963143,20541.54454877403,20688.780729864848,30005625417.91,398593008037.23
17-01-2023,21175.83326020336,21438.659357857345,20978.533624201336,21161.519219916157,24999983362.13,407681958151.49
16-01-2023,20882.22387661832,21360.87427947748,20715.74621411983,21169.6327806964,26792494049.72,407818156777.17
15-01-2023,20977.484195216995,20993.74869585351,20606.98723839924,20880.79920218209,19298407543.31,402234665331.34
14-01-2023,19910.53665706548,21075.141829957553,19907.828463560887,20976.299796392123,38967784639.05,404052157141.45
13-01-2023,18868.90593784208,19964.32272796427,18753.164262209666,19909.574624750632,29225029693.63,383483154873.96
12-01-2023,17944.068733941822,19030.087636638204,17919.231705835675,18869.588055265584,34971338710.34,363433455081.14
11-01-2023,17446.360272066515,17987.633549359143,17337.99499776178,17943.897629468323,18307186523.32,346303640718.24
10-01-2023,17192.95009444573,17484.720892404555,17162.99116698699,17446.292509299026,15808338948.79,335987993694.35
09-01-2023,17093.99249812248,17389.957551426294,17093.99249812248,17196.554059639464,18624736865.86,331160060320.4
08-01-2023,16954.145725849703,17091.14445130325,16924.050073925267,17091.14445130325,9768827914.24,329114546384.43
07-01-2023,16952.11698101385,16975.016620564034,16914.192080111883,16955.077435158768,7714767174.32,326478273136.7
